hospital_id,datetime_hour,er_occupancy,staffing_level,avg_wait_time_last_hour,patients_left_without_being_seen_last_hour
H01,2024-01-04 22:00,42,19.0,27,2
H01,2024-01-04 23:00,13,10.0,83,0
H01,2024-01-05 00:00,53,17.0,84,1
H01,2024-01-05 01:00,59,24.0,64,2
H01,2024-01-05 02:00,27,14.0,57,0
H01,2024-01-05 03:00,54,6.0,104,1
H01,2024-01-05 04:00,31,9.0,115,1
H01,2024-01-05 05:00,26,22.0,106,1
H01,2024-01-05 06:00,48,21.0,115,0
H01,2024-01-05 07:00,41,21.0,112,0
H01,2024-01-05 08:00,40,9.0,72,2
H01,2024-01-05 09:00,50,22.0,46,0
H01,2024-01-05 10:00,26,17.0,71,2
H01,2024-01-05 11:00,33,11.0,52,1
H01,2024-01-05 12:00,44,14.0,78,1
H01,2024-01-05 13:00,57,,41,1
H01,2024-01-05 14:00,52,20.0,112,2
H01,2024-01-05 15:00,57,5.0,50,0
H01,2024-01-05 16:00,13,11.0,73,0
H01,2024-01-05 17:00,58,17.0,55,1
H01,2024-01-05 18:00,14,5.0,29,0
H01,2024-01-05 19:00,9,24.0,99,2
H01,2024-01-05 20:00,50,21.0,30,2
H01,2024-01-05 21:00,38,23.0,25,0
H01,2024-01-05 22:00,15,9.0,103,1
H01,2024-01-05 23:00,40,13.0,61,0
H01,2024-01-06 00:00,46,23.0,45,1
H01,2024-01-06 01:00,49,23.0,83,0
H01,2024-01-06 02:00,29,23.0,60,1
H01,2024-01-06 03:00,39,5.0,37,2
H01,2024-01-06 04:00,50,7.0,20,2
H01,2024-01-06 05:00,52,7.0,35,0
H01,2024-01-06 06:00,52,11.0,65,0
H01,2024-01-06 07:00,37,16.0,100,2
H01,2024-01-06 08:00,23,9.0,89,0
H01,2024-01-06 09:00,24,17.0,63,2
H01,2024-01-06 10:00,29,6.0,63,1
H01,2024-01-06 11:00,54,22.0,82,0
H01,2024-01-06 12:00,54,20.0,63,0
H01,2024-01-06 13:00,56,14.0,78,2
H01,2024-01-06 14:00,30,15.0,88,2
H01,2024-01-06 15:00,52,8.0,96,1
H01,2024-01-06 16:00,51,5.0,20,1
H01,2024-01-06 17:00,34,23.0,34,2
H01,2024-01-06 18:00,50,14.0,51,2
H01,2024-01-06 19:00,5,12.0,65,2
H01,2024-01-06 20:00,59,14.0,61,1
H01,2024-01-06 21:00,21,9.0,104,2
H01,2024-01-06 22:00,38,14.0,67,1
H01,2024-01-06 23:00,48,6.0,67,1
H01,2024-01-07 00:00,58,14.0,108,2
H01,2024-01-07 01:00,36,9.0,106,2
H01,2024-01-07 02:00,42,19.0,83,1
H01,2024-01-07 03:00,40,19.0,47,1
H01,2024-01-07 04:00,20,9.0,23,2
H01,2024-01-07 05:00,24,13.0,46,1
H01,2024-01-07 06:00,32,21.0,72,0
H01,2024-01-07 07:00,11,17.0,61,1
H01,2024-01-07 08:00,59,24.0,103,2
H01,2024-01-07 09:00,47,14.0,71,1
H01,2024-01-07 10:00,26,19.0,38,1
H01,2024-01-07 11:00,46,15.0,64,2
H01,2024-01-07 12:00,49,11.0,86,0
H01,2024-01-07 13:00,6,6.0,27,1
H01,2024-01-07 14:00,5,15.0,103,1
H01,2024-01-07 15:00,47,12.0,76,0
H01,2024-01-07 16:00,31,17.0,111,2
H01,2024-01-07 17:00,58,12.0,78,1
H01,2024-01-07 18:00,36,8.0,24,2
H01,2024-01-07 19:00,30,21.0,61,0
H01,2024-01-07 20:00,26,7.0,60,2
H01,2024-01-07 21:00,50,5.0,87,2
H01,2024-01-07 22:00,44,24.0,82,0
H01,2024-01-07 23:00,29,11.0,111,2
H01,2024-01-08 00:00,33,18.0,48,1
H01,2024-01-08 01:00,49,18.0,88,2
H01,2024-01-08 02:00,29,6.0,97,1
H01,2024-01-08 03:00,59,18.0,26,0
H01,2024-01-08 04:00,24,24.0,110,2
H01,2024-01-08 05:00,55,15.0,87,0
H01,2024-01-08 06:00,57,17.0,54,1
H01,2024-01-08 07:00,48,10.0,33,0
H01,2024-01-08 08:00,53,5.0,90,2
H01,2024-01-08 09:00,57,19.0,59,0
H01,2024-01-08 10:00,8,9.0,74,2
H01,2024-01-08 11:00,6,14.0,23,1
H01,2024-01-08 12:00,29,,56,0
H01,2024-01-08 13:00,33,13.0,26,1
H01,2024-01-08 14:00,33,21.0,38,2
H01,2024-01-08 15:00,55,21.0,107,0
H01,2024-01-08 16:00,45,7.0,40,0
H01,2024-01-08 17:00,20,8.0,43,0
H01,2024-01-08 18:00,22,14.0,73,2
H01,2024-01-08 19:00,11,13.0,55,0
H01,2024-01-08 20:00,53,17.0,91,2
H01,2024-01-08 21:00,27,17.0,81,2
H01,2024-01-08 22:00,41,16.0,85,2
H01,2024-01-08 23:00,54,8.0,23,1
H01,2024-01-09 00:00,19,22.0,112,0
H01,2024-01-09 01:00,48,20.0,39,0
H01,2024-01-09 02:00,6,10.0,40,2
H01,2024-01-09 03:00,29,16.0,111,0
H01,2024-01-09 04:00,36,12.0,78,1
H01,2024-01-09 05:00,24,10.0,37,2
H01,2024-01-09 06:00,41,21.0,67,0
H01,2024-01-09 07:00,39,14.0,81,0
H01,2024-01-09 08:00,42,8.0,32,2
H01,2024-01-09 09:00,58,19.0,106,0
H01,2024-01-09 10:00,12,12.0,29,2
H01,2024-01-09 11:00,55,23.0,24,2
H01,2024-01-09 12:00,27,10.0,101,2
H01,2024-01-09 13:00,31,10.0,53,1
H01,2024-01-09 14:00,21,9.0,31,1
H01,2024-01-09 15:00,14,23.0,69,2
H01,2024-01-09 16:00,58,12.0,107,2
H01,2024-01-09 17:00,14,23.0,109,2
H01,2024-01-09 18:00,33,5.0,51,0
H01,2024-01-09 19:00,17,23.0,107,2
H01,2024-01-09 20:00,5,17.0,46,0
H01,2024-01-09 21:00,46,23.0,54,2
H01,2024-01-09 22:00,57,20.0,76,2
H01,2024-01-09 23:00,24,18.0,111,2
H01,2024-01-10 00:00,32,23.0,93,1
H01,2024-01-10 01:00,48,13.0,38,1
H01,2024-01-10 02:00,57,6.0,39,0
H01,2024-01-10 03:00,45,5.0,79,0
H01,2024-01-10 04:00,45,15.0,42,1
H01,2024-01-10 05:00,47,14.0,103,2
H01,2024-01-10 06:00,8,9.0,56,1
H01,2024-01-10 07:00,6,21.0,118,2
H01,2024-01-10 08:00,56,8.0,47,1
H01,2024-01-10 09:00,16,20.0,45,1
H01,2024-01-10 10:00,33,6.0,29,1
H01,2024-01-10 11:00,50,16.0,45,2
H01,2024-01-10 12:00,28,14.0,64,2
H01,2024-01-10 13:00,16,21.0,97,0
H01,2024-01-10 14:00,44,16.0,76,1
H01,2024-01-10 15:00,14,18.0,67,0
H01,2024-01-10 16:00,18,10.0,73,2
H01,2024-01-10 17:00,21,11.0,83,1
H01,2024-01-10 18:00,12,12.0,52,0
H01,2024-01-10 19:00,38,20.0,25,1
H01,2024-01-10 20:00,11,21.0,74,2
H01,2024-01-10 21:00,36,12.0,99,1
H01,2024-01-10 22:00,45,7.0,70,1
H01,2024-01-10 23:00,56,22.0,75,1
H01,2024-01-11 00:00,50,7.0,114,0
H01,2024-01-11 01:00,29,8.0,37,0
H01,2024-01-11 02:00,22,11.0,68,2
H01,2024-01-11 03:00,55,22.0,95,1
H01,2024-01-11 04:00,56,21.0,81,2
H01,2024-01-11 05:00,58,10.0,57,2
H01,2024-01-11 06:00,22,16.0,76,2
H01,2024-01-11 07:00,25,13.0,57,2
H01,2024-01-11 08:00,30,21.0,75,2
H01,2024-01-11 09:00,14,7.0,65,0
H01,2024-01-11 10:00,39,22.0,68,1
H01,2024-01-11 11:00,36,10.0,73,1
H01,2024-01-11 12:00,31,9.0,69,1
H01,2024-01-11 13:00,46,16.0,103,2
H01,2024-01-11 14:00,34,20.0,114,2
H01,2024-01-11 15:00,21,15.0,114,2
H01,2024-01-11 16:00,16,16.0,104,0
H01,2024-01-11 17:00,16,24.0,117,0
H01,2024-01-11 18:00,25,17.0,102,1
H01,2024-01-11 19:00,23,23.0,68,1
H01,2024-01-11 20:00,14,17.0,69,1
H01,2024-01-11 21:00,22,24.0,50,1
H01,2024-01-11 22:00,35,23.0,70,1
H01,2024-01-11 23:00,38,16.0,73,1
H01,2024-01-12 00:00,31,24.0,110,1
H01,2024-01-12 01:00,26,24.0,68,1
H01,2024-01-12 02:00,29,18.0,51,2
H01,2024-01-12 03:00,41,17.0,62,1
H01,2024-01-12 04:00,45,11.0,109,0
H01,2024-01-12 05:00,29,24.0,42,0
H01,2024-01-12 06:00,58,16.0,33,2
H01,2024-01-12 07:00,28,13.0,84,0
H01,2024-01-12 08:00,8,10.0,54,2
H01,2024-01-12 09:00,55,22.0,37,1
H01,2024-01-12 10:00,16,7.0,67,0
H01,2024-01-12 11:00,18,24.0,38,1
H01,2024-01-12 12:00,9,18.0,69,2
H01,2024-01-12 13:00,40,15.0,76,0
H01,2024-01-12 14:00,32,17.0,97,2
H01,2024-01-12 15:00,13,14.0,111,1
H01,2024-01-12 16:00,52,12.0,27,0
H01,2024-01-12 17:00,14,17.0,38,2
H01,2024-01-12 18:00,7,11.0,64,0
H01,2024-01-12 19:00,42,17.0,76,2
H01,2024-01-12 20:00,19,8.0,83,1
H01,2024-01-12 21:00,23,18.0,112,1
H01,2024-01-12 22:00,14,9.0,99,2
H01,2024-01-12 23:00,18,5.0,26,0
H01,2024-01-13 00:00,19,5.0,114,0
H01,2024-01-13 01:00,39,19.0,21,0
H01,2024-01-13 02:00,17,9.0,22,0
H01,2024-01-13 03:00,37,24.0,59,2
H01,2024-01-13 04:00,27,15.0,50,2
H01,2024-01-13 05:00,24,,61,0
H01,2024-01-13 06:00,9,14.0,71,1
H01,2024-01-13 07:00,45,24.0,67,0
H01,2024-01-13 08:00,12,23.0,67,2
H01,2024-01-13 09:00,45,8.0,51,1
H01,2024-01-13 10:00,33,15.0,73,1
H01,2024-01-13 11:00,19,9.0,88,0
H01,2024-01-13 12:00,24,7.0,83,1
H01,2024-01-13 13:00,49,19.0,40,0
H01,2024-01-13 14:00,15,8.0,29,0
H01,2024-01-13 15:00,59,17.0,104,0
H01,2024-01-13 16:00,49,18.0,22,1
H01,2024-01-13 17:00,21,13.0,71,1
H01,2024-01-13 18:00,25,5.0,31,2
H01,2024-01-13 19:00,8,22.0,37,0
H01,2024-01-13 20:00,34,23.0,109,0
H01,2024-01-13 21:00,20,22.0,65,0
H01,2024-01-13 22:00,50,16.0,92,2
H01,2024-01-13 23:00,35,14.0,46,1
H01,2024-01-14 00:00,7,17.0,40,2
H01,2024-01-14 01:00,31,11.0,34,0
H01,2024-01-14 02:00,42,5.0,108,2
H01,2024-01-14 03:00,19,10.0,28,2
H01,2024-01-14 04:00,31,24.0,119,0
H01,2024-01-14 05:00,36,8.0,118,1
H01,2024-01-14 06:00,30,15.0,81,0
H01,2024-01-14 07:00,48,11.0,68,1
H01,2024-01-14 08:00,33,13.0,107,1
H01,2024-01-14 09:00,17,20.0,71,1
H01,2024-01-14 10:00,6,11.0,111,0
H01,2024-01-14 11:00,48,18.0,115,1
H01,2024-01-14 12:00,25,21.0,65,1
H01,2024-01-14 13:00,57,15.0,26,1
H01,2024-01-14 14:00,57,5.0,82,1
H01,2024-01-14 15:00,58,,29,1
H01,2024-01-14 16:00,12,21.0,73,2
H01,2024-01-14 17:00,21,22.0,115,1
H01,2024-01-14 18:00,27,8.0,34,1
H01,2024-01-14 19:00,53,10.0,34,1
H01,2024-01-14 20:00,19,6.0,43,1
H01,2024-01-14 21:00,58,7.0,25,1
H01,2024-01-14 22:00,27,11.0,62,2
H01,2024-01-14 23:00,13,12.0,26,2
H01,2024-01-15 00:00,53,15.0,28,0
H01,2024-01-15 01:00,57,11.0,41,2
H01,2024-01-15 02:00,55,12.0,45,1
H01,2024-01-15 03:00,35,10.0,113,0
H01,2024-01-15 04:00,5,24.0,26,2
H01,2024-01-15 05:00,34,12.0,51,1
H01,2024-01-15 06:00,25,15.0,60,1
H01,2024-01-15 07:00,6,16.0,53,1
H01,2024-01-15 08:00,36,19.0,97,2
H01,2024-01-15 09:00,18,9.0,33,2
H01,2024-01-15 10:00,44,13.0,111,0
H01,2024-01-15 11:00,9,21.0,119,0
H01,2024-01-15 12:00,24,9.0,118,2
H01,2024-01-15 13:00,15,6.0,82,0
H01,2024-01-15 14:00,24,6.0,63,2
H01,2024-01-15 15:00,26,13.0,76,2
H01,2024-01-15 16:00,44,23.0,37,2
H01,2024-01-15 17:00,39,19.0,113,0
H01,2024-01-15 18:00,58,12.0,75,1
H01,2024-01-15 19:00,22,5.0,57,1
H01,2024-01-15 20:00,34,8.0,49,2
H01,2024-01-15 21:00,46,18.0,118,2
H01,2024-01-15 22:00,34,18.0,90,0
H01,2024-01-15 23:00,19,19.0,23,0
H01,2024-01-16 00:00,24,21.0,85,0
H01,2024-01-16 01:00,42,23.0,112,2
H01,2024-01-16 02:00,11,17.0,66,0
H01,2024-01-16 03:00,6,18.0,88,0
H01,2024-01-16 04:00,21,12.0,90,0
H01,2024-01-16 05:00,30,16.0,63,2
H01,2024-01-16 06:00,44,14.0,114,2
H01,2024-01-16 07:00,13,17.0,118,2
H01,2024-01-16 08:00,31,20.0,109,2
H01,2024-01-16 09:00,32,7.0,53,0
H01,2024-01-16 10:00,6,10.0,115,1
H01,2024-01-16 11:00,50,18.0,92,0
H01,2024-01-16 12:00,29,,107,0
H01,2024-01-16 13:00,14,20.0,83,1
H01,2024-01-16 14:00,44,14.0,58,0
H01,2024-01-16 15:00,17,8.0,96,0
H01,2024-01-16 16:00,8,18.0,102,1
H01,2024-01-16 17:00,20,24.0,39,2
H01,2024-01-16 18:00,56,19.0,63,1
H01,2024-01-16 19:00,46,12.0,39,1
H01,2024-01-16 20:00,8,18.0,24,0
H01,2024-01-16 21:00,43,8.0,47,1
H01,2024-01-16 22:00,33,17.0,96,1
H01,2024-01-16 23:00,21,16.0,33,2
H01,2024-01-17 00:00,24,17.0,109,0
H01,2024-01-17 01:00,40,22.0,107,0
H01,2024-01-17 02:00,37,9.0,48,0
H01,2024-01-17 03:00,31,16.0,54,0
H01,2024-01-17 04:00,47,23.0,60,2
H01,2024-01-17 05:00,33,7.0,52,0
H01,2024-01-17 06:00,28,,36,0
H01,2024-01-17 07:00,22,23.0,109,1
H01,2024-01-17 08:00,22,12.0,20,0
H01,2024-01-17 09:00,24,8.0,69,1
H01,2024-01-17 10:00,20,20.0,82,1
H01,2024-01-17 11:00,25,6.0,36,2
H01,2024-01-17 12:00,12,18.0,94,1
H01,2024-01-17 13:00,59,24.0,48,0
H01,2024-01-17 14:00,10,24.0,108,0
H01,2024-01-17 15:00,12,24.0,56,1
H01,2024-01-17 16:00,18,20.0,72,0
H01,2024-01-17 17:00,10,7.0,104,2
H01,2024-01-17 18:00,18,20.0,46,0
H01,2024-01-17 19:00,42,14.0,111,0
H01,2024-01-17 20:00,7,6.0,58,1
H01,2024-01-17 21:00,40,16.0,61,2
H01,2024-01-17 22:00,51,,94,2
H01,2024-01-17 23:00,52,17.0,30,0
H01,2024-01-18 00:00,28,16.0,36,1
H01,2024-01-18 01:00,36,9.0,54,2
H01,2024-01-18 02:00,58,12.0,41,1
H01,2024-01-18 03:00,28,16.0,58,2
H01,2024-01-18 04:00,22,12.0,78,0
H01,2024-01-18 05:00,14,,42,1
H01,2024-01-18 06:00,30,15.0,93,1
H01,2024-01-18 07:00,21,15.0,51,0
H01,2024-01-18 08:00,45,24.0,59,2
H01,2024-01-18 09:00,6,9.0,37,1
H01,2024-01-18 10:00,55,24.0,99,1
H01,2024-01-18 11:00,56,,67,1
H01,2024-01-18 12:00,17,23.0,114,1
H01,2024-01-18 13:00,7,12.0,99,1
H01,2024-01-18 14:00,49,18.0,39,0
H01,2024-01-18 15:00,19,24.0,83,0
H01,2024-01-18 16:00,38,5.0,39,1
H01,2024-01-18 17:00,56,8.0,30,0
H01,2024-01-18 18:00,42,5.0,84,2
H01,2024-01-18 19:00,23,20.0,105,0
H01,2024-01-18 20:00,21,,116,2
H01,2024-01-18 21:00,7,6.0,76,2
H01,2024-01-18 22:00,40,19.0,63,1
H01,2024-01-18 23:00,40,17.0,106,1
H01,2024-01-19 00:00,29,18.0,43,2
H01,2024-01-19 01:00,51,22.0,38,1
H01,2024-01-19 02:00,35,9.0,67,1
H01,2024-01-19 03:00,12,8.0,100,2
H01,2024-01-19 04:00,53,11.0,26,2
H01,2024-01-19 05:00,51,15.0,94,0
H01,2024-01-19 06:00,21,23.0,25,2
H01,2024-01-19 07:00,50,22.0,45,0
H01,2024-01-19 08:00,41,8.0,111,2
H01,2024-01-19 09:00,35,20.0,83,0
H01,2024-01-19 10:00,53,7.0,104,0
H01,2024-01-19 11:00,31,21.0,74,1
H01,2024-01-19 12:00,37,18.0,43,1
H01,2024-01-19 13:00,46,19.0,35,0
H01,2024-01-19 14:00,40,23.0,90,1
H01,2024-01-19 15:00,45,19.0,29,1
H01,2024-01-19 16:00,12,12.0,40,1
H01,2024-01-19 17:00,44,8.0,117,0
H01,2024-01-19 18:00,49,20.0,83,1
H01,2024-01-19 19:00,6,17.0,63,0
H01,2024-01-19 20:00,30,15.0,28,1
H01,2024-01-19 21:00,52,23.0,117,0
H01,2024-01-19 22:00,5,17.0,43,0
H01,2024-01-19 23:00,25,16.0,81,0
H01,2024-01-20 00:00,29,18.0,99,0
H01,2024-01-20 01:00,13,11.0,86,1
H01,2024-01-20 02:00,27,21.0,52,0
H01,2024-01-20 03:00,47,18.0,76,2
H01,2024-01-20 04:00,43,24.0,24,2
H01,2024-01-20 05:00,40,22.0,92,2
H01,2024-01-20 06:00,58,23.0,97,0
H01,2024-01-20 07:00,31,12.0,96,0
H01,2024-01-20 08:00,50,20.0,44,1
H01,2024-01-20 09:00,17,18.0,94,1
H01,2024-01-20 10:00,36,,110,1
H01,2024-01-20 11:00,52,19.0,92,1
H01,2024-01-20 12:00,33,16.0,64,0
H01,2024-01-20 13:00,5,11.0,66,2
H01,2024-01-20 14:00,37,5.0,112,2
H01,2024-01-20 15:00,19,7.0,107,0
H01,2024-01-20 16:00,9,7.0,108,1
H01,2024-01-20 17:00,26,21.0,40,0
H01,2024-01-20 18:00,47,7.0,108,1
H01,2024-01-20 19:00,58,23.0,67,2
H01,2024-01-20 20:00,11,6.0,76,2
H01,2024-01-20 21:00,46,6.0,112,0
H01,2024-01-20 22:00,31,19.0,85,2
H01,2024-01-20 23:00,52,13.0,62,0
H01,2024-01-21 00:00,14,16.0,94,0
H01,2024-01-21 01:00,53,23.0,99,1
H01,2024-01-21 02:00,32,20.0,93,0
H01,2024-01-21 03:00,17,23.0,86,1
H01,2024-01-21 04:00,47,18.0,63,1
H01,2024-01-21 05:00,13,18.0,60,1
H01,2024-01-21 06:00,50,6.0,46,1
H01,2024-01-21 07:00,52,9.0,21,1
H01,2024-01-21 08:00,11,7.0,74,0
H01,2024-01-21 09:00,25,,84,2
H01,2024-01-21 10:00,16,9.0,102,0
H01,2024-01-21 11:00,48,5.0,75,1
H01,2024-01-21 12:00,40,23.0,95,0
H01,2024-01-21 13:00,51,9.0,25,2
H01,2024-01-21 14:00,18,17.0,28,2
H01,2024-01-21 15:00,35,18.0,30,0
H01,2024-01-21 16:00,24,24.0,95,2
H01,2024-01-21 17:00,52,5.0,70,2
H01,2024-01-21 18:00,24,15.0,116,0
H01,2024-01-21 19:00,5,18.0,67,2
H01,2024-01-21 20:00,53,8.0,34,1
H01,2024-01-21 21:00,59,15.0,64,2
H01,2024-01-21 22:00,37,15.0,58,1
H01,2024-01-21 23:00,26,,30,1
H01,2024-01-22 00:00,47,18.0,62,2
H01,2024-01-22 01:00,16,24.0,40,1
H01,2024-01-22 02:00,22,8.0,81,0
H01,2024-01-22 03:00,11,,23,0
H01,2024-01-22 04:00,31,22.0,62,0
H01,2024-01-22 05:00,58,20.0,44,2
H01,2024-01-22 06:00,15,11.0,78,0
H01,2024-01-22 07:00,43,22.0,92,2
H01,2024-01-22 08:00,33,14.0,104,1
H01,2024-01-22 09:00,47,21.0,39,1
H01,2024-01-22 10:00,54,11.0,88,1
H01,2024-01-22 11:00,52,16.0,46,0
H01,2024-01-22 12:00,54,5.0,76,0
H01,2024-01-22 13:00,5,22.0,87,1
H01,2024-01-22 14:00,32,19.0,118,1
H01,2024-01-22 15:00,17,12.0,108,0
H01,2024-01-22 16:00,15,7.0,84,2
H01,2024-01-22 17:00,26,6.0,48,2
H01,2024-01-22 18:00,21,17.0,61,0
H01,2024-01-22 19:00,57,13.0,45,1
H01,2024-01-22 20:00,50,5.0,46,1
H01,2024-01-22 21:00,46,11.0,90,0
H01,2024-01-22 22:00,27,12.0,86,2
H01,2024-01-22 23:00,37,11.0,49,0
H01,2024-01-23 00:00,6,12.0,43,1
H01,2024-01-23 01:00,14,6.0,51,1
H01,2024-01-23 02:00,36,15.0,46,1
H01,2024-01-23 03:00,21,14.0,49,2
H01,2024-01-23 04:00,30,,46,0
H01,2024-01-23 05:00,38,,30,2
H01,2024-01-23 06:00,17,11.0,30,2
H01,2024-01-23 07:00,30,11.0,22,2
H01,2024-01-23 08:00,43,18.0,83,1
H01,2024-01-23 09:00,59,11.0,43,0
H01,2024-01-23 10:00,56,5.0,78,1
H01,2024-01-23 11:00,20,24.0,68,0
H01,2024-01-23 12:00,47,10.0,51,1
H01,2024-01-23 13:00,33,5.0,84,1
H01,2024-01-23 14:00,30,11.0,30,2
H01,2024-01-23 15:00,41,18.0,94,1
H01,2024-01-23 16:00,16,13.0,33,2
H01,2024-01-23 17:00,49,,62,2
H01,2024-01-23 18:00,53,14.0,72,1
H01,2024-01-23 19:00,36,5.0,113,1
H01,2024-01-23 20:00,17,23.0,29,0
H01,2024-01-23 21:00,5,16.0,56,2
H01,2024-01-23 22:00,16,11.0,33,1
H01,2024-01-23 23:00,29,20.0,70,1
H01,2024-01-24 00:00,19,20.0,114,1
H01,2024-01-24 01:00,19,13.0,90,2
H01,2024-01-24 02:00,50,16.0,37,0
H01,2024-01-24 03:00,59,20.0,104,2
H01,2024-01-24 04:00,56,14.0,110,1
H01,2024-01-24 05:00,21,9.0,61,1
H01,2024-01-24 06:00,9,13.0,94,1
H01,2024-01-24 07:00,9,20.0,89,0
H01,2024-01-24 08:00,42,20.0,119,0
H01,2024-01-24 09:00,53,20.0,91,1
H01,2024-01-24 10:00,56,10.0,73,0
H01,2024-01-24 11:00,5,14.0,22,0
H01,2024-01-24 12:00,27,24.0,75,2
H01,2024-01-24 13:00,41,17.0,109,1
H01,2024-01-24 14:00,7,9.0,94,1
H01,2024-01-24 15:00,22,5.0,92,0
H01,2024-01-24 16:00,40,,78,2
H01,2024-01-24 17:00,12,18.0,52,0
H01,2024-01-24 18:00,44,15.0,88,1
H01,2024-01-24 19:00,57,17.0,25,1
H01,2024-01-24 20:00,44,24.0,32,2
H01,2024-01-24 21:00,59,11.0,118,1
H01,2024-01-24 22:00,34,24.0,95,2
H01,2024-01-24 23:00,17,9.0,43,1
H01,2024-01-25 00:00,27,8.0,81,0
H01,2024-01-25 01:00,11,15.0,34,1
H01,2024-01-25 02:00,9,6.0,51,0
H01,2024-01-25 03:00,41,14.0,56,2
H01,2024-01-25 04:00,45,23.0,102,1
